[]
[7,  28,  62,  63,  64,  10]
[28,  34,  51,  53,  56,  11]
[19,  35,  53,  54,  67,  21]
[16,  20,  44,  57,  58,  6]
[7,  14,  24,  30,  56,  7]
[28,  45,  53,  56,  69,  20]
[2,  11,  22,  35,  60,  23]
[13,  19,  36,  39,  59,  13]
[19,  31,  40,  46,  57,  23]
[19,  36,  37,  46,  56,  24]
[18,  23,  35,  45,  54,  16]
[19,  25,  48,  55,  60,  18]
[6,  8,  15,  27,  42,  10]
[19,  30,  36,  46,  60,  25]
[32,  37,  40,  58,  62,  15]
[14,  30,  41,  42,  59,  6]
[3,  6,  11,  17,  22,  11]
[13,  43,  53,  60,  68,  5]
[26,  30,  33,  37,  62,  6]
[2,  16,  22,  55,  63,  22]
[8,  21,  22,  65,  69,  26]
[6,  10,  24,  33,  67,  11]
[13,  20,  31,  33,  59,  20]
[3,  9,  21,  24,  29,  14]
[6,  33,  34,  45,  54,  7]
[7,  15,  36,  46,  67,  7]
[5,  25,  36,  51,  61,  1]
[9,  10,  20,  22,  52,  25]
[6,  14,  16,  34,  66,  25]
[38,  42,  56,  68,  69,  4]
[3,  16,  30,  33,  36,  20]
[4,  7,  32,  55,  64,  25]
[18,  27,  49,  65,  69,  9]
[7,  8,  19,  24,  28,  1]
[13,  36,  43,  61,  69,  18]
[2,  18,  56,  60,  65,  14]
[6,  24,  35,  37,  44,  22]
[12,  27,  34,  55,  67,  9]
[5,  9,  11,  16,  66,  7]
[23,  28,  41,  50,  55,  24]
[20,  24,  47,  50,  63,  5]
[19,  24,  35,  43,  62,  2]
[29,  44,  59,  61,  68,  19]
[32,  45,  51,  57,  58,  12]
[8,  15,  46,  56,  68,  3]
[9,  21,  56,  57,  66,  11]
[15,  21,  31,  36,  65,  16]
[4,  17,  57,  58,  68,  12]
[1,  25,  44,  55,  57,  26]
[25,  37,  38,  39,  65,  5]
[39,  41,  54,  59,  62,  12]
[10,  20,  23,  49,  65,  22]
[14,  34,  36,  50,  58,  5]
[3,  18,  23,  32,  57,  21]
[22,  23,  36,  47,  63,  2]
[4,  26,  34,  37,  52,  9]
[14,  22,  42,  46,  52,  24]
[32,  36,  49,  62,  69,  13]
[15,  16,  24,  31,  56,  4]
[9,  10,  37,  59,  62,  26]
[8,  40,  49,  58,  63,  14]
[11,  13,  18,  30,  37,  16]
[6,  12,  20,  27,  32,  4]
[6,  10,  31,  48,  56,  12]
[3,  44,  61,  63,  69,  13]
[10,  19,  40,  45,  58,  25]
[19,  28,  41,  42,  51,  7]
[2,  27,  42,  44,  51,  25]
[18,  20,  26,  53,  69,  5]
[22,  39,  43,  62,  64,  7]
[2,  10,  35,  44,  46,  4]
[14,  16,  36,  52,  60,  16]
[11,  41,  56,  57,  63,  2]
[27,  28,  51,  68,  69,  22]
[2,  39,  50,  61,  66,  15]
[19,  28,  39,  42,  57,  17]
[1,  33,  37,  39,  42,  26]
[14,  15,  25,  52,  58,  11]
[40,  41,  58,  64,  65,  17]
[7,  15,  22,  36,  64,  13]
[6,  40,  41,  45,  52,  9]
[5,  7,  61,  63,  69,  18]
[18,  30,  35,  52,  56,  5]
[4,  5,  6,  28,  67,  10]
[37,  39,  55,  63,  69,  23]
[18,  27,  33,  39,  44,  8]
[14,  21,  37,  44,  63,  1]
